cell_name	gene_name	tissue_type	gene_id
Mesenchymal stem cell	Thy1	Bone marrow	ENSMUSG00000032011
Mesenchymal stem cell		Bone marrow	
Blastema cell	Ly6a	Bone marrow	ENSMUSG00000075602
Blastema cell	Vim	Bone marrow	ENSMUSG00000026728
Blastema cell		Bone marrow	
M2 macrophage		Bone marrow	
M2 macrophage		Bone marrow	
M2 macrophage	Arg1	Bone marrow	ENSMUSG00000019987
M2 macrophage	Mrc1	Bone marrow	ENSMUSG00000026712
M2 macrophage		Bone marrow	
M2 macrophage	Adgre1	Bone marrow	ENSMUSG00000004730
M2 macrophage	Arg1	Bone marrow	ENSMUSG00000019987
M2 macrophage		Bone marrow	
M2 macrophage		Bone marrow	
Megakaryocyte	Pbx1	Bone marrow	ENSMUSG00000052534
Neutrophil	Mpo	Bone marrow	ENSMUSG00000009350
Mast cell	Kit	Bone marrow	ENSMUSG00000005672
Neutrophil	S100a9	Bone marrow	ENSMUSG00000056071
Lymphocyte	Lsp1	Bone marrow	ENSMUSG00000018819
Monocyte	Slpi	Bone marrow	ENSMUSG00000017002
Basophil	Cpa3	Bone marrow	ENSMUSG00000001865
Megakaryocyte	Pf4	Bone marrow	ENSMUSG00000029373
Neutrophil	Prtn3	Bone marrow	ENSMUSG00000057729
Neutrophil	Elane	Bone marrow	ENSMUSG00000020125
Dendritic cell	Cst3	Bone marrow	ENSMUSG00000027447
Monocyte	F13a1	Bone marrow	ENSMUSG00000039109
Mast cell	Cpa3	Bone marrow	ENSMUSG00000001865
Basophil	Mcpt8	Bone marrow	ENSMUSG00000022157
Megakaryocyte	Itga2b	Bone marrow	ENSMUSG00000034664
Dendritic cell	H2-Ab1	Bone marrow	ENSMUSG00000073421
Megakaryocyte	Vwf	Bone marrow	ENSMUSG00000001930
Erythroid cell	Tfrc	Bone marrow	ENSMUSG00000022797
Lymphocyte	Vpreb3	Bone marrow	ENSMUSG00000000903
Erythroid cell	Alad	Bone marrow	ENSMUSG00000028393
Mast cell	Alox5	Bone marrow	ENSMUSG00000025701
Dendritic cell	H2-Eb1	Bone marrow	ENSMUSG00000060586
Basophil	Prss34	Bone marrow	ENSMUSG00000056399
Multipotent progenitor cell	Procr	Bone marrow	ENSMUSG00000027611
Basophil	Ifitm1	Bone marrow	ENSMUSG00000025491
Lymphocyte	Ccr7	Bone marrow	ENSMUSG00000037944
Multipotent progenitor cell	Hlf	Bone marrow	ENSMUSG00000003949
Basophil	Srgn	Bone marrow	ENSMUSG00000020077
Neutrophil	S100a8	Bone marrow	ENSMUSG00000056054
Erythroid cell	Hbb-bt	Bone marrow	ENSMUSG00000073940
Basophil	Lmo4	Bone marrow	ENSMUSG00000028266
Neutrophil	Lyz2	Bone marrow	ENSMUSG00000069516
Erythroid cell	Alas2	Bone marrow	ENSMUSG00000025270
Mast cell	Cd53	Bone marrow	ENSMUSG00000040747
Neutrophil	Ltf	Bone marrow	ENSMUSG00000032496
Mast cell	Ifitm1	Bone marrow	ENSMUSG00000025491
Lymphocyte	Ccr9	Bone marrow	ENSMUSG00000029530
Lymphocyte	Flt3	Bone marrow	ENSMUSG00000042817
Mast cell	Lmo4	Bone marrow	ENSMUSG00000028266
Erythroid cell	Hba-a1	Bone marrow	ENSMUSG00000069919
Monocyte	Ly6c2	Bone marrow	ENSMUSG00000022584
Lymphocyte	Cd79a	Bone marrow	ENSMUSG00000003379
Lymphocyte	Lck	Bone marrow	ENSMUSG00000000409
Basophil	Cd53	Bone marrow	ENSMUSG00000040747
Mast cell	Ly6e	Bone marrow	ENSMUSG00000022587
Erythroid cell	Hba-a2	Bone marrow	ENSMUSG00000069917
Multipotent progenitor cell	Gcnt2	Bone marrow	ENSMUSG00000021360
Erythroid cell	Car2	Bone marrow	ENSMUSG00000027562
Lymphocyte	Dntt	Bone marrow	ENSMUSG00000025014
Lymphocyte	Mzb1	Bone marrow	ENSMUSG00000024353
Lymphocyte	Vpreb1	Bone marrow	ENSMUSG00000059305
Monocyte	Csf1r	Bone marrow	ENSMUSG00000024621
Mast cell	Srgn	Bone marrow	ENSMUSG00000020077
Dendritic cell	H2-Aa	Bone marrow	ENSMUSG00000036594
Neutrophil	Lcn2	Bone marrow	ENSMUSG00000026822
Mast cell	Gzmb	Bone marrow	ENSMUSG00000015437
Megakaryocyte	Mef2c	Bone marrow	ENSMUSG00000005583
Lymphocyte	Lef1	Bone marrow	ENSMUSG00000027985
Monocyte	Ccr2	Bone marrow	ENSMUSG00000049103
Basophil	Ly6e	Bone marrow	ENSMUSG00000022587
Erythroid cell	Bpgm	Bone marrow	ENSMUSG00000038871
Basophil	Alox5	Bone marrow	ENSMUSG00000025701
Lymphocyte	Igll1	Bone marrow	ENSMUSG00000075370
Dendritic cell	Cd74	Bone marrow	ENSMUSG00000024610
Erythroid cell	Rhd	Bone marrow	ENSMUSG00000028825
Neutrophil	Gstm1	Bone marrow	ENSMUSG00000058135
Erythroid cell	Cpox	Bone marrow	ENSMUSG00000022742
Dendritic cell		Bone marrow	
Dendritic cell	Ccr7	Bone marrow	ENSMUSG00000037944
Dendritic cell		Bone marrow	
Dendritic cell		Bone marrow	
Dendritic cell		Bone marrow	
Dendritic cell		Bone marrow	
Stage I neutrophil	Olfml2b	Bone marrow	ENSMUSG00000038463
Monocyte	Trem2	Bone marrow	ENSMUSG00000023992
Stage I neutrophil	Golim4	Bone marrow	ENSMUSG00000034109
Stage I neutrophil	Lyz1	Bone marrow	ENSMUSG00000069515
Stage I neutrophil	Ltb4r1	Bone marrow	ENSMUSG00000046908
Stage I neutrophil	Cybb	Bone marrow	ENSMUSG00000015340
Stage I neutrophil	Tmem216	Bone marrow	ENSMUSG00000024667
Monocyte	Ly86	Bone marrow	ENSMUSG00000021423
Monocyte	F13a1	Bone marrow	ENSMUSG00000039109
Stage I neutrophil	Gp1bb	Bone marrow	ENSMUSG00000050761
Stage I neutrophil	Tesc	Bone marrow	ENSMUSG00000029359
Stage I neutrophil	Cebpe	Bone marrow	ENSMUSG00000052435
Stage I neutrophil		Bone marrow	
Stage I neutrophil	Igsf6	Bone marrow	ENSMUSG00000035004
Stage II neutrophil	Ldoc1	Bone marrow	ENSMUSG00000057615
Stage II neutrophil	C130050O18Rik	Bone marrow	ENSMUSG00000044092
Stem cell	Srgn	Bone marrow	ENSMUSG00000020077
Stage I neutrophil	Pi16	Bone marrow	ENSMUSG00000024011
Red blood cell (erythrocyte)	Car1	Bone marrow	ENSMUSG00000027556
Stage I neutrophil	S100a9	Bone marrow	ENSMUSG00000056071
Stem cell	Gimap6	Bone marrow	ENSMUSG00000047867
Stage II neutrophil	Dck	Bone marrow	ENSMUSG00000029366
Stem cell	Aldoc	Bone marrow	ENSMUSG00000017390
Stage I neutrophil	Crispld2	Bone marrow	ENSMUSG00000031825
Stage II neutrophil	Rgs2	Bone marrow	ENSMUSG00000026360
Stage I neutrophil	Tnfsf13b	Bone marrow	ENSMUSG00000031497
Stage II neutrophil	Stfa2l1	Bone marrow	ENSMUSG00000059657
Stage II neutrophil	Rtp4	Bone marrow	ENSMUSG00000033355
Stem cell	Mycn	Bone marrow	ENSMUSG00000037169
Stage I neutrophil		Bone marrow	
Stem cell	H2-T10	Bone marrow	ENSMUSG00000079491
Stem cell	Rgs1	Bone marrow	ENSMUSG00000026358
Stage I neutrophil	Mgll	Bone marrow	ENSMUSG00000033174
Stage I neutrophil	Cyba	Bone marrow	ENSMUSG00000006519
Stem cell	Acot1	Bone marrow	ENSMUSG00000072949
Stage II neutrophil	Wbp11	Bone marrow	ENSMUSG00000030216
Stage II neutrophil	Dleu2	Bone marrow	ENSMUSG00000097589
Megakaryocyte	Pf4	Bone marrow	ENSMUSG00000029373
Stage I neutrophil	Xdh	Bone marrow	ENSMUSG00000024066
Stem cell	Zfp608	Bone marrow	ENSMUSG00000052713
Stage II neutrophil	Ndrg1	Bone marrow	ENSMUSG00000005125
Stem cell	H2-T23	Bone marrow	ENSMUSG00000067212
Stage I neutrophil	Lin28a	Bone marrow	ENSMUSG00000050966
Stage II neutrophil		Bone marrow	
Stage I neutrophil	Pilrb2	Bone marrow	ENSMUSG00000066682
Stem cell	Myct1	Bone marrow	ENSMUSG00000046916
Stage II neutrophil	H2-Q10	Bone marrow	ENSMUSG00000067235
Monocyte	Slpi	Bone marrow	ENSMUSG00000017002
Stage II neutrophil	Sirpb1b	Bone marrow	ENSMUSG00000095028
Stem cell	H2-K1	Bone marrow	ENSMUSG00000061232
Monocyte	Emb	Bone marrow	ENSMUSG00000021728
Stem cell	H2-T22	Bone marrow	ENSMUSG00000056116
Monocyte	Gria3	Bone marrow	ENSMUSG00000001986
Stage I neutrophil	Slc22a15	Bone marrow	ENSMUSG00000033147
Stem cell	Pglyrp2	Bone marrow	ENSMUSG00000079563
Stage II neutrophil	Rfwd3	Bone marrow	ENSMUSG00000033596
Stage I neutrophil	Id1	Bone marrow	ENSMUSG00000042745
Stage II neutrophil	Pprc1	Bone marrow	ENSMUSG00000055491
Stage I neutrophil	Lima1	Bone marrow	ENSMUSG00000023022
Stem cell	Hacd4	Bone marrow	ENSMUSG00000028497
Stage I neutrophil	Sorl1	Bone marrow	ENSMUSG00000049313
Stem cell	Cish	Bone marrow	ENSMUSG00000032578
Stem cell	P3h3	Bone marrow	ENSMUSG00000023191
Stage I neutrophil	Dgat2	Bone marrow	ENSMUSG00000030747
Stage II neutrophil	Steap4	Bone marrow	ENSMUSG00000012428
Stage I neutrophil	Ccno	Bone marrow	ENSMUSG00000042417
Stage I neutrophil	Mgst2	Bone marrow	ENSMUSG00000074604
Stem cell	Rtp4	Bone marrow	ENSMUSG00000033355
Stem cell	Ly6a	Bone marrow	ENSMUSG00000075602
Stem cell	Gcnt2	Bone marrow	ENSMUSG00000021360
Monocyte	S100a10	Bone marrow	ENSMUSG00000041959
Stage I neutrophil	Syne1	Bone marrow	ENSMUSG00000096054
Stage II neutrophil	Fgl2	Bone marrow	ENSMUSG00000039899
Stage II neutrophil		Bone marrow	
Stem cell	Gabarapl1	Bone marrow	ENSMUSG00000030161
Monocyte	Hpse	Bone marrow	ENSMUSG00000035273
Stage I neutrophil	Cd9	Bone marrow	ENSMUSG00000030342
Stage II neutrophil	Tpd52	Bone marrow	ENSMUSG00000027506
Stage II neutrophil	Pttg1	Bone marrow	ENSMUSG00000020415
Stage II neutrophil	Mat2a	Bone marrow	ENSMUSG00000053907
Stage I neutrophil	Arrb2	Bone marrow	ENSMUSG00000060216
Monocyte	Glipr1	Bone marrow	ENSMUSG00000056888
Stage I neutrophil		Bone marrow	
Stage II neutrophil	Wfdc17	Bone marrow	ENSMUSG00000069792
Stage I neutrophil	Mocos	Bone marrow	ENSMUSG00000039616
Stage II neutrophil	Csf3r	Bone marrow	ENSMUSG00000028859
Stem cell	Pdzk1ip1	Bone marrow	ENSMUSG00000028716
Stage II neutrophil	Slc25a33	Bone marrow	ENSMUSG00000028982
Stage I neutrophil	Cd177	Bone marrow	ENSMUSG00000052212
Stem cell	Osbpl1a	Bone marrow	ENSMUSG00000044252
Stem cell	Ptpn18	Bone marrow	ENSMUSG00000026126
Conventional dendritic cell	Cd74	Bone marrow	ENSMUSG00000024610
Stage II neutrophil	Rchy1	Bone marrow	ENSMUSG00000029397
Monocyte	Rassf4	Bone marrow	ENSMUSG00000042129
Stage II neutrophil	Pnpla3	Bone marrow	ENSMUSG00000041653
Stage II neutrophil	Fxyd5	Bone marrow	ENSMUSG00000009687
Stage I neutrophil	Slc40a1	Bone marrow	ENSMUSG00000025993
Stage I neutrophil	Pram1	Bone marrow	ENSMUSG00000032739
Stage I neutrophil	C5ar1	Bone marrow	ENSMUSG00000049130
Stem cell	Mpl	Bone marrow	ENSMUSG00000006389
Stage II neutrophil	Ifit1	Bone marrow	ENSMUSG00000034459
Stem cell	Ptprcap	Bone marrow	ENSMUSG00000045826
Stem cell	Fchsd2	Bone marrow	ENSMUSG00000030691
Stage I neutrophil	Fhip1b	Bone marrow	ENSMUSG00000044465
Neutrophil	Gstm1	Bone marrow	ENSMUSG00000058135
Stage I neutrophil	Ly75	Bone marrow	ENSMUSG00000026980
Stage I neutrophil	Cemip2	Bone marrow	ENSMUSG00000024754
Stage II neutrophil	Vnn3	Bone marrow	ENSMUSG00000020010
Stage I neutrophil	Arid3a	Bone marrow	ENSMUSG00000019564
Stem cell	Whamm	Bone marrow	ENSMUSG00000045795
Monocyte	Lgals1	Bone marrow	ENSMUSG00000068220
Stage I neutrophil	Camp	Bone marrow	ENSMUSG00000038357
Stem cell	Arxes2	Bone marrow	ENSMUSG00000048040
Stage I neutrophil	Cpne3	Bone marrow	ENSMUSG00000028228
Stage I neutrophil	Dach1	Bone marrow	ENSMUSG00000055639
Stem cell	Cdhr4	Bone marrow	ENSMUSG00000032595
Stage I neutrophil	Flot2	Bone marrow	ENSMUSG00000061981
Stage II neutrophil	Rnf149	Bone marrow	ENSMUSG00000048234
Eosinophil	Prg2	Bone marrow	ENSMUSG00000027073
Stage II neutrophil	Rsad2	Bone marrow	ENSMUSG00000020641
Stem cell	Malat1	Bone marrow	ENSMUSG00000092341
Stem cell		Bone marrow	
Stage II neutrophil	St3gal6	Bone marrow	ENSMUSG00000022747
Monocyte	Cxcr4	Bone marrow	ENSMUSG00000045382
Stage II neutrophil	Malat1	Bone marrow	ENSMUSG00000092341
Monocyte	Mfsd1	Bone marrow	ENSMUSG00000027775
Monocyte	Tmem258	Bone marrow	ENSMUSG00000036372
Stage I neutrophil	F5	Bone marrow	ENSMUSG00000026579
Stage I neutrophil	Map3k9	Bone marrow	ENSMUSG00000042724
Plasmacytoid dendritic cell	Siglech	Bone marrow	ENSMUSG00000051504
Stage I neutrophil		Bone marrow	
Monocyte		Bone marrow	
Stage I neutrophil		Bone marrow	
Stage I neutrophil	Gca	Bone marrow	ENSMUSG00000026893
Stage II neutrophil	Ttc7	Bone marrow	ENSMUSG00000036918
Stem cell	Nfe2	Bone marrow	ENSMUSG00000058794
Stage I neutrophil	Zmpste24	Bone marrow	ENSMUSG00000043207
Stage II neutrophil	Ecd	Bone marrow	ENSMUSG00000021810
Stage II neutrophil	H3c14	Bone marrow	ENSMUSG00000093769
B cell	Fcrla	Bone marrow	ENSMUSG00000038421
Stem cell	Lst1	Bone marrow	ENSMUSG00000073412
Monocyte	Ly6c1	Bone marrow	ENSMUSG00000079018
Stage II neutrophil	Trim30a	Bone marrow	ENSMUSG00000030921
Stage I neutrophil	Igf2r	Bone marrow	ENSMUSG00000023830
Stage I neutrophil	Plscr1	Bone marrow	ENSMUSG00000032369
Stage I neutrophil	Chil3	Bone marrow	ENSMUSG00000040809
Stage II neutrophil	Isg15	Bone marrow	ENSMUSG00000035692
Stage I neutrophil	Actn1	Bone marrow	ENSMUSG00000015143
Stage I neutrophil	Mcemp1	Bone marrow	ENSMUSG00000013974
Stage I neutrophil	Lcn2	Bone marrow	ENSMUSG00000026822
Stage II neutrophil	Nup37	Bone marrow	ENSMUSG00000035351
Stage II neutrophil	Uap1l1	Bone marrow	ENSMUSG00000026956
Stage II neutrophil	Banf1	Bone marrow	ENSMUSG00000024844
Stem cell	Gm12185	Bone marrow	ENSMUSG00000048852
Stage I neutrophil	S100a8	Bone marrow	ENSMUSG00000056054
Stem cell	Myl10	Bone marrow	ENSMUSG00000005474
Monocyte	Tgfbi	Bone marrow	ENSMUSG00000035493
Stage I neutrophil	Vsir	Bone marrow	ENSMUSG00000020101
Stage I neutrophil	Pirb	Bone marrow	ENSMUSG00000058818
Stage II neutrophil	Oasl1	Bone marrow	ENSMUSG00000041827
Stage I neutrophil	Cxcr2	Bone marrow	ENSMUSG00000026180
Stage II neutrophil	Il1rn	Bone marrow	ENSMUSG00000026981
Stage I neutrophil	Pilrb1	Bone marrow	ENSMUSG00000066684
Stage I neutrophil	AB124611	Bone marrow	ENSMUSG00000057191
Stage I neutrophil	Slc6a12	Bone marrow	ENSMUSG00000030109
Stage II neutrophil	Stk17b	Bone marrow	ENSMUSG00000026094
Monocyte	Psma2	Bone marrow	ENSMUSG00000015671
Stage II neutrophil	Zfp292	Bone marrow	ENSMUSG00000039967
Stage I neutrophil	Ampd3	Bone marrow	ENSMUSG00000005686
Stage I neutrophil	Siglece	Bone marrow	ENSMUSG00000030474
Stem cell	Cd81	Bone marrow	ENSMUSG00000037706
Stage II neutrophil	Copa	Bone marrow	ENSMUSG00000026553
Stage I neutrophil	Padi4	Bone marrow	ENSMUSG00000025330
Stage I neutrophil	Pfkfb4	Bone marrow	ENSMUSG00000025648
Stage I neutrophil	Sh3bp5	Bone marrow	ENSMUSG00000021892
Stage I neutrophil	Glipr2	Bone marrow	ENSMUSG00000028480
Stem cell	Tnip3	Bone marrow	ENSMUSG00000044162
Stage II neutrophil		Bone marrow	
Stage I neutrophil	Ltf	Bone marrow	ENSMUSG00000032496
Stage I neutrophil	Hp	Bone marrow	ENSMUSG00000031722
Stage I neutrophil	Abca13	Bone marrow	ENSMUSG00000004668
Neutrophil	Fcnb	Bone marrow	ENSMUSG00000026835
Stage II neutrophil	Btg1	Bone marrow	ENSMUSG00000036478
Stage I neutrophil	Rasgrp4	Bone marrow	ENSMUSG00000030589
Stage I neutrophil	Pilra	Bone marrow	ENSMUSG00000046245
Stage II neutrophil	Gm5150	Bone marrow	ENSMUSG00000078780
Stem cell	4931406C07Rik	Bone marrow	ENSMUSG00000031938
Stage II neutrophil	Tgfbi	Bone marrow	ENSMUSG00000035493
Stem cell	Gimap1	Bone marrow	ENSMUSG00000090019
Stem cell	Bgn	Bone marrow	ENSMUSG00000031375
Monocyte	C1galt1c1	Bone marrow	ENSMUSG00000048970
Stage I neutrophil	G0s2	Bone marrow	ENSMUSG00000009633
Stage I neutrophil	Agap1	Bone marrow	ENSMUSG00000055013
Stage I neutrophil	Pglyrp1	Bone marrow	ENSMUSG00000030413
Stem cell	Cd74	Bone marrow	ENSMUSG00000024610
Stage II neutrophil	Sfxn5	Bone marrow	ENSMUSG00000033720
Stage II neutrophil	Nlrp12	Bone marrow	ENSMUSG00000078817
Stage I neutrophil	Slco4c1	Bone marrow	ENSMUSG00000040693
Stage I neutrophil	Acsl1	Bone marrow	ENSMUSG00000018796
Stage I neutrophil	Pde2a	Bone marrow	ENSMUSG00000110195
Stem cell	Krt18	Bone marrow	ENSMUSG00000023043
Stem cell	Mllt3	Bone marrow	ENSMUSG00000028496
Stage II neutrophil	Scyl2	Bone marrow	ENSMUSG00000069539
Stage II neutrophil	Mpeg1	Bone marrow	ENSMUSG00000046805
Stage I neutrophil	Retnlg	Bone marrow	ENSMUSG00000022651
Stem cell	Adgrl4	Bone marrow	ENSMUSG00000039167
Stage II neutrophil	Creg1	Bone marrow	ENSMUSG00000040713
Stage II neutrophil	Ier5	Bone marrow	ENSMUSG00000056708
Stage I neutrophil	C3	Bone marrow	ENSMUSG00000024164
Stage I neutrophil	Gda	Bone marrow	ENSMUSG00000058624
Stage II neutrophil	Selenof	Bone marrow	ENSMUSG00000037072
Stage I neutrophil	Tmem154	Bone marrow	ENSMUSG00000056498
Monocyte	Rgs10	Bone marrow	ENSMUSG00000030844
Stage I neutrophil	St3gal5	Bone marrow	ENSMUSG00000056091
Stage II neutrophil	Ccdc126	Bone marrow	ENSMUSG00000050786
Stage I neutrophil	Ifnlr1	Bone marrow	ENSMUSG00000062157
Stage II neutrophil		Bone marrow	
Stage II neutrophil	Tspan13	Bone marrow	ENSMUSG00000020577
Stage II neutrophil	Sirpb1a	Bone marrow	ENSMUSG00000095788
Stage I neutrophil	Gpr84	Bone marrow	ENSMUSG00000063234
Stem cell	Car2	Bone marrow	ENSMUSG00000027562
Stage I neutrophil	Prdx5	Bone marrow	ENSMUSG00000024953
Stage I neutrophil	Lrg1	Bone marrow	ENSMUSG00000037095
Stage I neutrophil	Nudt4	Bone marrow	ENSMUSG00000020029
Stage I neutrophil	Fcnb	Bone marrow	ENSMUSG00000026835
Stem cell	Plaat3	Bone marrow	ENSMUSG00000060675
Stage II neutrophil	Cd300a	Bone marrow	ENSMUSG00000034652
Stage I neutrophil	Anxa1	Bone marrow	ENSMUSG00000024659
Basophil	Prss34	Bone marrow	ENSMUSG00000056399
Stem cell	Dapp1	Bone marrow	ENSMUSG00000028159
Stage I neutrophil	Pygl	Bone marrow	ENSMUSG00000021069
Stage I neutrophil	Jdp2	Bone marrow	ENSMUSG00000034271
Stem cell	Rbpms2	Bone marrow	ENSMUSG00000032387
Stage I neutrophil	6430548M08Rik	Bone marrow	ENSMUSG00000031824
Stage II neutrophil	Dusp1	Bone marrow	ENSMUSG00000024190
Stem cell	Oasl2	Bone marrow	ENSMUSG00000029561
Stage I neutrophil	Optn	Bone marrow	ENSMUSG00000026672
Monocyte	S100a4	Bone marrow	ENSMUSG00000001020
Stage II neutrophil	Trim30b	Bone marrow	ENSMUSG00000052749
Stage I neutrophil	Mmp25	Bone marrow	ENSMUSG00000023903
Stage I neutrophil	Trem1	Bone marrow	ENSMUSG00000042265
Stem cell		Bone marrow	
Stage II neutrophil	Ifit3b	Bone marrow	ENSMUSG00000062488
Stage I neutrophil	Tmc8	Bone marrow	ENSMUSG00000050106
Stage I neutrophil	Trp53inp2	Bone marrow	ENSMUSG00000038375
Monocyte	Tfec	Bone marrow	ENSMUSG00000029553
Stem cell	Ube2l6	Bone marrow	ENSMUSG00000027078
Stage I neutrophil	Abhd5	Bone marrow	ENSMUSG00000032540
Stem cell	Procr	Bone marrow	ENSMUSG00000027611
B cell	Vpreb1	Bone marrow	ENSMUSG00000059305
Stem cell	Hoxb2	Bone marrow	ENSMUSG00000075588
Stage I neutrophil	Ncam1	Bone marrow	ENSMUSG00000039542
Stage II neutrophil	Elp1	Bone marrow	ENSMUSG00000028431
Stage I neutrophil	Dstn	Bone marrow	ENSMUSG00000015932
Stage I neutrophil	Ncf1	Bone marrow	ENSMUSG00000015950
Stage I neutrophil	Vcl	Bone marrow	ENSMUSG00000021823
Stage I neutrophil	Lypd11	Bone marrow	ENSMUSG00000058717
Stage II neutrophil		Bone marrow	
Stage I neutrophil	Aldh3b1	Bone marrow	ENSMUSG00000024885
Stage II neutrophil	Snx1	Bone marrow	ENSMUSG00000032382
Stage I neutrophil	Sqor	Bone marrow	ENSMUSG00000005803
Stage II neutrophil	Stk40	Bone marrow	ENSMUSG00000042608
Stage I neutrophil	Tinagl1	Bone marrow	ENSMUSG00000028776
Stage I neutrophil	Ckap4	Bone marrow	ENSMUSG00000046841
Lymphocyte	Ccl5	Bone marrow	ENSMUSG00000035042
Stage II neutrophil	Oasl2	Bone marrow	ENSMUSG00000029561
Stem cell	Wfdc2	Bone marrow	ENSMUSG00000017723
Stage I neutrophil	Arap3	Bone marrow	ENSMUSG00000024451
Stage I neutrophil	Nhsl2	Bone marrow	ENSMUSG00000079481
Stage II neutrophil	Tbc1d15	Bone marrow	ENSMUSG00000020130
Stage II neutrophil	Cd300lb	Bone marrow	ENSMUSG00000063193
Stage II neutrophil	Ccl6	Bone marrow	ENSMUSG00000018927
Stage II neutrophil	Fbxo31	Bone marrow	ENSMUSG00000052934
Stage I neutrophil	Zfp414	Bone marrow	ENSMUSG00000073423
Stage II neutrophil	Ddx60	Bone marrow	ENSMUSG00000037921
Stage I neutrophil	Serpinb1c	Bone marrow	ENSMUSG00000079049
Stage I neutrophil	Lyz2	Bone marrow	ENSMUSG00000069516
Stem cell	Zfand5	Bone marrow	ENSMUSG00000024750
Stage I neutrophil		Bone marrow	
Stage I neutrophil	Rhou	Bone marrow	ENSMUSG00000039960
Stage II neutrophil	Ldb1	Bone marrow	ENSMUSG00000025223
Stage II neutrophil	Hip1	Bone marrow	ENSMUSG00000039959
Monocyte	Mefv	Bone marrow	ENSMUSG00000022534
Red blood cell (erythrocyte)	Hba-a2	Bone marrow	ENSMUSG00000069917
Stage I neutrophil	Trem3	Bone marrow	ENSMUSG00000041754
Stage I neutrophil	Ngp	Bone marrow	ENSMUSG00000032484
Stage I neutrophil	Ets1	Bone marrow	ENSMUSG00000032035
Stage I neutrophil	Slc25a24	Bone marrow	ENSMUSG00000040322
Neutrophil	Ltf	Bone marrow	ENSMUSG00000032496
Stage II neutrophil	Ifi27l2a	Bone marrow	ENSMUSG00000079017
Stage I neutrophil	Hck	Bone marrow	ENSMUSG00000003283
Stem cell	Stxbp4	Bone marrow	ENSMUSG00000020546
Stage II neutrophil	Arg2	Bone marrow	ENSMUSG00000021125
Stage II neutrophil	Rara	Bone marrow	ENSMUSG00000037992
Stem cell	Lhcgr	Bone marrow	ENSMUSG00000024107
Stem cell	Snord65	Bone marrow	ENSMUSG00000077457
Stage I neutrophil	Chil1	Bone marrow	ENSMUSG00000064246
Stage I neutrophil	Ffar2	Bone marrow	ENSMUSG00000051314
Stage I neutrophil	C1rl	Bone marrow	ENSMUSG00000038527
Stage II neutrophil	Cd101	Bone marrow	ENSMUSG00000086564
Stage II neutrophil	Ifi204	Bone marrow	ENSMUSG00000073489
Stage I neutrophil	Fmo5	Bone marrow	ENSMUSG00000028088
Stage II neutrophil	Tgm3	Bone marrow	ENSMUSG00000027401
Stem cell	Tmem176b	Bone marrow	ENSMUSG00000029810
Stage I neutrophil	Ceacam10	Bone marrow	ENSMUSG00000054169
Stage II neutrophil	Resf1	Bone marrow	ENSMUSG00000032712
Stage I neutrophil	Bbln	Bone marrow	ENSMUSG00000039195
Stage I neutrophil	1810055G02Rik	Bone marrow	ENSMUSG00000035372
Stage II neutrophil	Pla2g7	Bone marrow	ENSMUSG00000023913
Stage II neutrophil	Srgn	Bone marrow	ENSMUSG00000020077
Stem cell	Basp1	Bone marrow	ENSMUSG00000045763
Stem cell	Rpl32l	Bone marrow	ENSMUSG00000111356
Stage II neutrophil	Msrb1	Bone marrow	ENSMUSG00000075705
Stem cell	Cd27	Bone marrow	ENSMUSG00000030336
Stage I neutrophil	Klf5	Bone marrow	ENSMUSG00000005148
Stage II neutrophil	Slfn5	Bone marrow	ENSMUSG00000054404
Stem cell	Adgrg1	Bone marrow	ENSMUSG00000031785
Stage I neutrophil	G6pdx	Bone marrow	ENSMUSG00000031400
Stage I neutrophil	Vasp	Bone marrow	ENSMUSG00000030403
Stage I neutrophil	Chit1	Bone marrow	ENSMUSG00000026450
Stage I neutrophil	Lrrk2	Bone marrow	ENSMUSG00000036273
Stage I neutrophil	Mrgpra2b	Bone marrow	ENSMUSG00000096719
Stage I neutrophil	Adpgk	Bone marrow	ENSMUSG00000025236
Stage I neutrophil	Prkcb	Bone marrow	ENSMUSG00000052889
Stage I neutrophil	Slfn4	Bone marrow	ENSMUSG00000000204
Stage II neutrophil	Jaml	Bone marrow	ENSMUSG00000048534
Stem cell	Hlf	Bone marrow	ENSMUSG00000003949
Stage I neutrophil	Ceacam1	Bone marrow	ENSMUSG00000074272
Stage I neutrophil	Ncf4	Bone marrow	ENSMUSG00000071715
Stage II neutrophil	Picalm	Bone marrow	ENSMUSG00000039361
Stage I neutrophil	Slfn1	Bone marrow	ENSMUSG00000078763
Stage I neutrophil	Gpsm3	Bone marrow	ENSMUSG00000034786
Stem cell	Tbxas1	Bone marrow	ENSMUSG00000029925
Monocyte	Csf1r	Bone marrow	ENSMUSG00000024621
Stage II neutrophil	Ninj1	Bone marrow	ENSMUSG00000037966
Monocyte	Ly6c2	Bone marrow	ENSMUSG00000022584
Stem cell	Serpina3g	Bone marrow	ENSMUSG00000041481
Stage I neutrophil	Cib2	Bone marrow	ENSMUSG00000037493
Stage II neutrophil	Smarca2	Bone marrow	ENSMUSG00000024921
Stage II neutrophil	Tmem38a	Bone marrow	ENSMUSG00000031791
Stage II neutrophil	Sirpb1c	Bone marrow	ENSMUSG00000074677
Stage II neutrophil	H2bc4	Bone marrow	ENSMUSG00000018102
Stem cell	Lmo2	Bone marrow	ENSMUSG00000032698
